에이전트,질문,평가항목,가용여부,가용 데이터,테이블/컬럼,가정/갭,실제 쿼리,예상 답변
생산 관리,오늘 원재료 배치별(LOT) 재고 추적해줘,LOT 추적 가능 여부,❌,LOT 식별자 없음,(해당 없음),"ITEM 단위 집계만 존재, LOT 미적재","SELECT 'UNAVAILABLE' AS status, 'lot_no 컬럼 미존재' AS reason",LOT 번호 데이터가 없어 원재료 배치 추적은 불가합니다.
생산 관리,오늘 예상 생산 리드타임 대비 지연 품목 알려줘,생산 리드타임 관리,⚠️,생산 등록 시각,"raw_production_extract.reg_date,upd_date",실제 작업 시작/완료 시각 컬럼이 없어 등록시각으로 대체,"SELECT item_cd, item_nm, AVG(EXTRACT(EPOCH FROM (to_timestamp(upd_date,'YYYYMMDDHH24MISS') - to_timestamp(reg_date,'YYYYMMDDHH24MISS'))) / 60.0) AS avg_elapsed_min FROM raw_production_extract WHERE masked_stor_cd = :store_id AND reg_date IS NOT NULL AND upd_date IS NOT NULL GROUP BY item_cd, item_nm ORDER BY avg_elapsed_min DESC NULLS LAST LIMIT 10",등록-수정 시각 차이를 리드타임 대체값으로 계산해 지연 품목을 제공합니다.
생산 관리,어제 재고 부족(음수 재고) 품목 상위 10개 알려줘,부족 품목 탐지 정확성,✅,재고율/재고량/품목명,"core_stock_rate.prc_dt,item_cd,item_nm,stk_avg,stk_rt",-,"SELECT item_cd, item_nm, SUM(stk_avg) AS total_stk_avg, AVG(stk_rt) AS avg_stk_rt FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND stk_avg < 0 GROUP BY item_cd, item_nm ORDER BY total_stk_avg ASC LIMIT 10",요청한 하루 기준으로 부족 위험 품목 10개와 평균 재고율을 제공합니다.
생산 관리,어제 과잉 재고 품목 상위 10개 알려줘,과잉 품목 식별,✅,재고율/재고량,"core_stock_rate.stk_avg,stk_rt",-,"SELECT item_cd, item_nm, SUM(stk_avg) AS total_stk_avg, AVG(stk_rt) AS avg_stk_rt FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND stk_avg > 0 GROUP BY item_cd, item_nm ORDER BY total_stk_avg DESC LIMIT 10",요청한 하루 기준 과잉 재고 상위 품목과 재고율을 반환합니다.
생산 관리,어제 품절 발생 시각이 가장 빠른 품목 알려줘,품절시간 기반 우선순위,⚠️,품절시각 파싱값,"core_stockout_time.stockout_hour,is_stockout,sold_out_tm_raw",SOLD_OUT_TM 원본 형식 혼재로 일부 품목은 시각 계산 누락 가능,"SELECT item_cd, item_nm, AVG(stockout_hour) AS avg_stockout_hour, COUNT(*) AS stockout_days FROM core_stockout_time WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND is_stockout = TRUE GROUP BY item_cd, item_nm ORDER BY avg_stockout_hour ASC NULLS LAST LIMIT 10",요청한 하루 기준 평균 품절 시각이 빠른 품목 순으로 제공합니다.
생산 관리,어제 재고율 하위 10개 품목과 판매량 같이 보여줘,재고율-판매량 결합 진단,✅,재고율 + 판매량,"core_stock_rate.stk_rt,sal_avg",-,"SELECT item_cd, item_nm, AVG(stk_rt) AS avg_stk_rt, SUM(sal_avg) AS total_sal_avg FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY avg_stk_rt ASC NULLS LAST LIMIT 10",요청한 하루 기준 재고율이 낮은 품목과 판매량을 함께 제시합니다.
생산 관리,어제 생산 등록 횟수가 많은 품목 상위 10개,생산 실행 빈도 파악,✅,생산등록 이력,"production_registrations.sku_id,qty,registered_at,store_id",-,"SELECT sku_id AS item_cd, COUNT(*) AS registration_count, SUM(qty) AS total_qty FROM production_registrations WHERE store_id = :store_id AND registered_at::date BETWEEN :date_from AND :date_to GROUP BY sku_id ORDER BY registration_count DESC, total_qty DESC LIMIT 10",요청한 하루 기준 생산 등록 빈도가 높은 품목을 제공합니다.
생산 관리,어제 시간대별 판매 속도 대비 현재 재고 부족 위험 품목,판매속도 기반 부족위험,⚠️,시간대 판매량 + 재고 스냅샷,"core_hourly_item_sales.sale_qty,raw_inventory_extract.stock_qty",재고는 배치 스냅샷이며 실시간 변동 미반영,"WITH sales AS (SELECT item_cd, AVG(sale_qty) AS avg_hourly_sale_qty FROM core_hourly_item_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd), stock AS (SELECT item_cd, MAX(NULLIF(stock_qty,'')::numeric) AS latest_stock_qty FROM raw_inventory_extract WHERE masked_stor_cd = :store_id GROUP BY item_cd) SELECT s.item_cd, COALESCE(st.latest_stock_qty,0) AS latest_stock_qty, s.avg_hourly_sale_qty, CASE WHEN COALESCE(st.latest_stock_qty,0) - s.avg_hourly_sale_qty < 0 THEN 'HIGH' ELSE 'NORMAL' END AS risk_level FROM sales s LEFT JOIN stock st ON st.item_cd = s.item_cd ORDER BY risk_level DESC, s.avg_hourly_sale_qty DESC LIMIT 20",요청한 하루 기준 판매속도 대비 부족 위험 품목을 HIGH/NORMAL로 분류합니다.
생산 관리,어제 폐기 수량이 많은 품목 상위 10개,폐기 손실 식별,✅,폐기수량(disuse_qty),"raw_inventory_extract.disuse_qty,stock_dt,item_cd,item_nm",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(disuse_qty,'')::numeric,0)) AS total_disuse_qty FROM raw_inventory_extract WHERE masked_stor_cd = :store_id AND to_date(stock_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY total_disuse_qty DESC LIMIT 10",요청한 하루 기준 폐기수량 상위 품목을 반환합니다.
생산 관리,어제 1차/2차/3차 생산량 비중 알려줘,생산차수 운영 패턴,✅,차수별 생산수량,"raw_production_extract.prod_qty,prod_qty_2,prod_qty_3,prod_dt",-,"SELECT SUM(COALESCE(NULLIF(prod_qty,'')::numeric,0)) AS first_prod_qty, SUM(COALESCE(NULLIF(prod_qty_2,'')::numeric,0)) AS second_prod_qty, SUM(COALESCE(NULLIF(prod_qty_3,'')::numeric,0)) AS third_prod_qty FROM raw_production_extract WHERE masked_stor_cd = :store_id AND to_date(prod_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 하루 기준 1·2·3차 생산량 합계와 비중을 제공합니다.
생산 관리,어제 생산 등록 후 품절이 줄어든 품목 확인,생산 실행 효과 검증,⚠️,생산 등록 + 품절 발생일,"production_registrations.registered_at,core_stockout_time.is_stockout",인과관계는 단순 전후 비교로만 추정,"WITH reg AS (SELECT sku_id AS item_cd, MIN(registered_at::date) AS first_reg_date FROM production_registrations WHERE store_id = :store_id GROUP BY sku_id), oos AS (SELECT item_cd, to_date(prc_dt,'YYYYMMDD') AS d, CASE WHEN is_stockout THEN 1 ELSE 0 END AS is_oos FROM core_stockout_time WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to) SELECT o.item_cd, AVG(CASE WHEN o.d < r.first_reg_date THEN o.is_oos END) AS oos_rate_before, AVG(CASE WHEN o.d >= r.first_reg_date THEN o.is_oos END) AS oos_rate_after FROM oos o JOIN reg r ON r.item_cd = o.item_cd GROUP BY o.item_cd ORDER BY (AVG(CASE WHEN o.d < r.first_reg_date THEN o.is_oos END) - AVG(CASE WHEN o.d >= r.first_reg_date THEN o.is_oos END)) DESC NULLS LAST LIMIT 20",요청한 하루 기준 생산 등록 전후 품절률 변화를 비교합니다.
생산 관리,어제 유통기한 임박 품목 알려줘,유통기한 리스크 경보,❌,유통기한 컬럼 부재,(해당 없음),원천 테이블에 expiry_date/lot 정보 없음,"SELECT 'UNAVAILABLE' AS status, 'expiry_date 데이터가 없어 계산 불가' AS reason",유통기한/로트 데이터가 없어 현재 DB만으로는 답변할 수 없습니다.
생산 관리,어제 원재료 배치별(LOT) 재고 추적해줘,LOT 추적 가능 여부,❌,LOT 식별자 없음,(해당 없음),"ITEM 단위 집계만 존재, LOT 미적재","SELECT 'UNAVAILABLE' AS status, 'lot_no 컬럼 미존재' AS reason",LOT 번호 데이터가 없어 원재료 배치 추적은 불가합니다.
생산 관리,어제 예상 생산 리드타임 대비 지연 품목 알려줘,생산 리드타임 관리,⚠️,생산 등록 시각,"raw_production_extract.reg_date,upd_date",실제 작업 시작/완료 시각 컬럼이 없어 등록시각으로 대체,"SELECT item_cd, item_nm, AVG(EXTRACT(EPOCH FROM (to_timestamp(upd_date,'YYYYMMDDHH24MISS') - to_timestamp(reg_date,'YYYYMMDDHH24MISS'))) / 60.0) AS avg_elapsed_min FROM raw_production_extract WHERE masked_stor_cd = :store_id AND reg_date IS NOT NULL AND upd_date IS NOT NULL GROUP BY item_cd, item_nm ORDER BY avg_elapsed_min DESC NULLS LAST LIMIT 10",등록-수정 시각 차이를 리드타임 대체값으로 계산해 지연 품목을 제공합니다.
생산 관리,최근 7일 재고 부족(음수 재고) 품목 상위 10개 알려줘,부족 품목 탐지 정확성,✅,재고율/재고량/품목명,"core_stock_rate.prc_dt,item_cd,item_nm,stk_avg,stk_rt",-,"SELECT item_cd, item_nm, SUM(stk_avg) AS total_stk_avg, AVG(stk_rt) AS avg_stk_rt FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND stk_avg < 0 GROUP BY item_cd, item_nm ORDER BY total_stk_avg ASC LIMIT 10",요청한 7일 기준으로 부족 위험 품목 10개와 평균 재고율을 제공합니다.
생산 관리,최근 7일 과잉 재고 품목 상위 10개 알려줘,과잉 품목 식별,✅,재고율/재고량,"core_stock_rate.stk_avg,stk_rt",-,"SELECT item_cd, item_nm, SUM(stk_avg) AS total_stk_avg, AVG(stk_rt) AS avg_stk_rt FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND stk_avg > 0 GROUP BY item_cd, item_nm ORDER BY total_stk_avg DESC LIMIT 10",요청한 7일 기준 과잉 재고 상위 품목과 재고율을 반환합니다.
생산 관리,최근 7일 품절 발생 시각이 가장 빠른 품목 알려줘,품절시간 기반 우선순위,⚠️,품절시각 파싱값,"core_stockout_time.stockout_hour,is_stockout,sold_out_tm_raw",SOLD_OUT_TM 원본 형식 혼재로 일부 품목은 시각 계산 누락 가능,"SELECT item_cd, item_nm, AVG(stockout_hour) AS avg_stockout_hour, COUNT(*) AS stockout_days FROM core_stockout_time WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND is_stockout = TRUE GROUP BY item_cd, item_nm ORDER BY avg_stockout_hour ASC NULLS LAST LIMIT 10",요청한 7일 기준 평균 품절 시각이 빠른 품목 순으로 제공합니다.
생산 관리,최근 7일 재고율 하위 10개 품목과 판매량 같이 보여줘,재고율-판매량 결합 진단,✅,재고율 + 판매량,"core_stock_rate.stk_rt,sal_avg",-,"SELECT item_cd, item_nm, AVG(stk_rt) AS avg_stk_rt, SUM(sal_avg) AS total_sal_avg FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY avg_stk_rt ASC NULLS LAST LIMIT 10",요청한 7일 기준 재고율이 낮은 품목과 판매량을 함께 제시합니다.
생산 관리,최근 7일 생산 등록 횟수가 많은 품목 상위 10개,생산 실행 빈도 파악,✅,생산등록 이력,"production_registrations.sku_id,qty,registered_at,store_id",-,"SELECT sku_id AS item_cd, COUNT(*) AS registration_count, SUM(qty) AS total_qty FROM production_registrations WHERE store_id = :store_id AND registered_at::date BETWEEN :date_from AND :date_to GROUP BY sku_id ORDER BY registration_count DESC, total_qty DESC LIMIT 10",요청한 7일 기준 생산 등록 빈도가 높은 품목을 제공합니다.
생산 관리,최근 7일 시간대별 판매 속도 대비 현재 재고 부족 위험 품목,판매속도 기반 부족위험,⚠️,시간대 판매량 + 재고 스냅샷,"core_hourly_item_sales.sale_qty,raw_inventory_extract.stock_qty",재고는 배치 스냅샷이며 실시간 변동 미반영,"WITH sales AS (SELECT item_cd, AVG(sale_qty) AS avg_hourly_sale_qty FROM core_hourly_item_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd), stock AS (SELECT item_cd, MAX(NULLIF(stock_qty,'')::numeric) AS latest_stock_qty FROM raw_inventory_extract WHERE masked_stor_cd = :store_id GROUP BY item_cd) SELECT s.item_cd, COALESCE(st.latest_stock_qty,0) AS latest_stock_qty, s.avg_hourly_sale_qty, CASE WHEN COALESCE(st.latest_stock_qty,0) - s.avg_hourly_sale_qty < 0 THEN 'HIGH' ELSE 'NORMAL' END AS risk_level FROM sales s LEFT JOIN stock st ON st.item_cd = s.item_cd ORDER BY risk_level DESC, s.avg_hourly_sale_qty DESC LIMIT 20",요청한 7일 기준 판매속도 대비 부족 위험 품목을 HIGH/NORMAL로 분류합니다.
생산 관리,최근 7일 폐기 수량이 많은 품목 상위 10개,폐기 손실 식별,✅,폐기수량(disuse_qty),"raw_inventory_extract.disuse_qty,stock_dt,item_cd,item_nm",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(disuse_qty,'')::numeric,0)) AS total_disuse_qty FROM raw_inventory_extract WHERE masked_stor_cd = :store_id AND to_date(stock_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY total_disuse_qty DESC LIMIT 10",요청한 7일 기준 폐기수량 상위 품목을 반환합니다.
생산 관리,최근 7일 1차/2차/3차 생산량 비중 알려줘,생산차수 운영 패턴,✅,차수별 생산수량,"raw_production_extract.prod_qty,prod_qty_2,prod_qty_3,prod_dt",-,"SELECT SUM(COALESCE(NULLIF(prod_qty,'')::numeric,0)) AS first_prod_qty, SUM(COALESCE(NULLIF(prod_qty_2,'')::numeric,0)) AS second_prod_qty, SUM(COALESCE(NULLIF(prod_qty_3,'')::numeric,0)) AS third_prod_qty FROM raw_production_extract WHERE masked_stor_cd = :store_id AND to_date(prod_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 7일 기준 1·2·3차 생산량 합계와 비중을 제공합니다.
생산 관리,최근 7일 생산 등록 후 품절이 줄어든 품목 확인,생산 실행 효과 검증,⚠️,생산 등록 + 품절 발생일,"production_registrations.registered_at,core_stockout_time.is_stockout",인과관계는 단순 전후 비교로만 추정,"WITH reg AS (SELECT sku_id AS item_cd, MIN(registered_at::date) AS first_reg_date FROM production_registrations WHERE store_id = :store_id GROUP BY sku_id), oos AS (SELECT item_cd, to_date(prc_dt,'YYYYMMDD') AS d, CASE WHEN is_stockout THEN 1 ELSE 0 END AS is_oos FROM core_stockout_time WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to) SELECT o.item_cd, AVG(CASE WHEN o.d < r.first_reg_date THEN o.is_oos END) AS oos_rate_before, AVG(CASE WHEN o.d >= r.first_reg_date THEN o.is_oos END) AS oos_rate_after FROM oos o JOIN reg r ON r.item_cd = o.item_cd GROUP BY o.item_cd ORDER BY (AVG(CASE WHEN o.d < r.first_reg_date THEN o.is_oos END) - AVG(CASE WHEN o.d >= r.first_reg_date THEN o.is_oos END)) DESC NULLS LAST LIMIT 20",요청한 7일 기준 생산 등록 전후 품절률 변화를 비교합니다.
생산 관리,최근 7일 유통기한 임박 품목 알려줘,유통기한 리스크 경보,❌,유통기한 컬럼 부재,(해당 없음),원천 테이블에 expiry_date/lot 정보 없음,"SELECT 'UNAVAILABLE' AS status, 'expiry_date 데이터가 없어 계산 불가' AS reason",유통기한/로트 데이터가 없어 현재 DB만으로는 답변할 수 없습니다.
생산 관리,최근 7일 원재료 배치별(LOT) 재고 추적해줘,LOT 추적 가능 여부,❌,LOT 식별자 없음,(해당 없음),"ITEM 단위 집계만 존재, LOT 미적재","SELECT 'UNAVAILABLE' AS status, 'lot_no 컬럼 미존재' AS reason",LOT 번호 데이터가 없어 원재료 배치 추적은 불가합니다.
생산 관리,최근 7일 예상 생산 리드타임 대비 지연 품목 알려줘,생산 리드타임 관리,⚠️,생산 등록 시각,"raw_production_extract.reg_date,upd_date",실제 작업 시작/완료 시각 컬럼이 없어 등록시각으로 대체,"SELECT item_cd, item_nm, AVG(EXTRACT(EPOCH FROM (to_timestamp(upd_date,'YYYYMMDDHH24MISS') - to_timestamp(reg_date,'YYYYMMDDHH24MISS'))) / 60.0) AS avg_elapsed_min FROM raw_production_extract WHERE masked_stor_cd = :store_id AND reg_date IS NOT NULL AND upd_date IS NOT NULL GROUP BY item_cd, item_nm ORDER BY avg_elapsed_min DESC NULLS LAST LIMIT 10",등록-수정 시각 차이를 리드타임 대체값으로 계산해 지연 품목을 제공합니다.
생산 관리,최근 14일 재고 부족(음수 재고) 품목 상위 10개 알려줘,부족 품목 탐지 정확성,✅,재고율/재고량/품목명,"core_stock_rate.prc_dt,item_cd,item_nm,stk_avg,stk_rt",-,"SELECT item_cd, item_nm, SUM(stk_avg) AS total_stk_avg, AVG(stk_rt) AS avg_stk_rt FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND stk_avg < 0 GROUP BY item_cd, item_nm ORDER BY total_stk_avg ASC LIMIT 10",요청한 14일 기준으로 부족 위험 품목 10개와 평균 재고율을 제공합니다.
생산 관리,최근 14일 과잉 재고 품목 상위 10개 알려줘,과잉 품목 식별,✅,재고율/재고량,"core_stock_rate.stk_avg,stk_rt",-,"SELECT item_cd, item_nm, SUM(stk_avg) AS total_stk_avg, AVG(stk_rt) AS avg_stk_rt FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND stk_avg > 0 GROUP BY item_cd, item_nm ORDER BY total_stk_avg DESC LIMIT 10",요청한 14일 기준 과잉 재고 상위 품목과 재고율을 반환합니다.
생산 관리,최근 14일 품절 발생 시각이 가장 빠른 품목 알려줘,품절시간 기반 우선순위,⚠️,품절시각 파싱값,"core_stockout_time.stockout_hour,is_stockout,sold_out_tm_raw",SOLD_OUT_TM 원본 형식 혼재로 일부 품목은 시각 계산 누락 가능,"SELECT item_cd, item_nm, AVG(stockout_hour) AS avg_stockout_hour, COUNT(*) AS stockout_days FROM core_stockout_time WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND is_stockout = TRUE GROUP BY item_cd, item_nm ORDER BY avg_stockout_hour ASC NULLS LAST LIMIT 10",요청한 14일 기준 평균 품절 시각이 빠른 품목 순으로 제공합니다.
생산 관리,최근 14일 재고율 하위 10개 품목과 판매량 같이 보여줘,재고율-판매량 결합 진단,✅,재고율 + 판매량,"core_stock_rate.stk_rt,sal_avg",-,"SELECT item_cd, item_nm, AVG(stk_rt) AS avg_stk_rt, SUM(sal_avg) AS total_sal_avg FROM core_stock_rate WHERE masked_stor_cd = :store_id AND to_date(prc_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY avg_stk_rt ASC NULLS LAST LIMIT 10",요청한 14일 기준 재고율이 낮은 품목과 판매량을 함께 제시합니다.
생산 관리,최근 14일 생산 등록 횟수가 많은 품목 상위 10개,생산 실행 빈도 파악,✅,생산등록 이력,"production_registrations.sku_id,qty,registered_at,store_id",-,"SELECT sku_id AS item_cd, COUNT(*) AS registration_count, SUM(qty) AS total_qty FROM production_registrations WHERE store_id = :store_id AND registered_at::date BETWEEN :date_from AND :date_to GROUP BY sku_id ORDER BY registration_count DESC, total_qty DESC LIMIT 10",요청한 14일 기준 생산 등록 빈도가 높은 품목을 제공합니다.
