질문번호,기준지점,기준일시,에이전트,표시라벨,질문,가용여부,테이블/컬럼,가정/갭,일반화 쿼리,예시 쿼리,예상 답변,의도ID,동의어
036-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,생산 없이 소진 품목,오늘 생산 등록 없이 재고만 소진되는 품목 있어?,⚠️,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",생산 등록 이력 컬럼 직접 없음; 판매수량 대비 재고율 변화로 추정,"SELECT 
    Sales.item_cd,
    Sales.item_nm,
    Sales.total_sale_qty,                                         -- 오늘 총 판매수량 (소진된 재고)
    COALESCE(Prod.total_prod_qty, 0) AS total_prod_qty            -- 오늘 총 생산수량
FROM (
    -- 1. 오늘 하루 동안의 품목별 판매(재고 소진) 수량 집계
    SELECT
        item_cd,
        item_nm,
        SUM(sale_qty) AS total_sale_qty
    FROM
        core_daily_item_sales
    WHERE
        masked_stor_cd = :store_id
        AND sale_dt = :date_from
    GROUP BY
        item_cd,
        item_nm
) Sales
LEFT JOIN (
    -- 2. 오늘 하루 동안의 품목별 총 생산수량 집계 (1차+2차+3차 합산)
    SELECT
        item_cd,
        SUM(
            CAST(COALESCE(NULLIF(prod_qty, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_2, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_3, ''), '0') AS NUMERIC)
        ) AS total_prod_qty
    FROM
        raw_production_extract
    WHERE
        masked_stor_cd = :store_id
        AND prod_dt = :date_from
    GROUP BY
        item_cd
) Prod
ON Sales.item_cd = Prod.item_cd
WHERE
    Sales.total_sale_qty > 0                                      -- 오늘 판매가 1건이라도 발생했고
    AND COALESCE(Prod.total_prod_qty, 0) = 0                      -- 오늘 생산은 전혀 되지 않은 품목 필터링
ORDER BY
    Sales.total_sale_qty DESC;                                    -- 재고 소진이 가장 많았던 순으로 정렬
","SELECT
    Sales.item_cd,
    Sales.item_nm,
    Sales.total_sale_qty,
    COALESCE(Prod.total_prod_qty, 0) AS total_prod_qty
FROM (
    SELECT
        item_cd,
        item_nm,
        SUM(sale_qty) AS total_sale_qty
    FROM
        core_daily_item_sales
    WHERE
        masked_stor_cd = 'POC_010'
        AND sale_dt = '20250324'                                  -- 오늘(또는 최신 기준일) 적용
    GROUP BY
        item_cd,
        item_nm
) Sales
LEFT JOIN (
    SELECT
        item_cd,
        SUM(
            CAST(COALESCE(NULLIF(prod_qty, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_2, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_3, ''), '0') AS NUMERIC)
        ) AS total_prod_qty
    FROM
        raw_production_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND prod_dt = '20260424'
    GROUP BY
        item_cd
) Prod
ON Sales.item_cd = Prod.item_cd
WHERE
    Sales.total_sale_qty > 0
    AND COALESCE(Prod.total_prod_qty, 0) = 0
ORDER BY
    Sales.total_sale_qty DESC;","오늘 생산 등록 이력이 없는데 재고율이 감소한 품목을 나열하고, 해당 품목의 현재 재고율과 예상 소진 시간을 함께 제시하여 즉시 생산 등록 필요성을 안내",,
036-001-002,POC_010,2026-03-05 09:00 (KST),생산 관리,품절 시각·재고율,생산 없이 판매된 품목들의 재고율과 품절 시각 확인해줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",생산 등록 이력 컬럼 직접 없음; 판매수량 대비 재고율 변화로 추정,"SELECT
    Sales.item_cd,
    Sales.item_nm,
    Sales.total_sale_qty,                                         -- 오늘 총 판매수량
    COALESCE(Prod.total_prod_qty, 0) AS total_prod_qty,           -- 오늘 총 생산수량 (0인 항목만 필터링됨)
    SR.stk_rt AS stock_rate,                                      -- 재고율 (%)
    (CASE WHEN ST.sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END),                                               -- 품절 여부
    ST.sold_out_tm,                                             -- 품절 발생 시각 (시 단위)
    NULLIF(ST.stk_avg, '')::numeric                                              -- 영업 마감 잔여 재고
FROM (
    -- 1. 오늘 하루 동안의 품목별 판매 수량 집계
    SELECT 
        item_cd,
        item_nm,
        SUM(sale_qty) AS total_sale_qty
    FROM 
        core_daily_item_sales
    WHERE 
        masked_stor_cd = :store_id
        AND sale_dt = :date_from
    GROUP BY 
        item_cd, 
        item_nm
) Sales
LEFT JOIN (
    -- 2. 오늘 하루 동안의 품목별 총 생산수량 집계
    SELECT 
        item_cd,
        SUM(
            CAST(COALESCE(NULLIF(prod_qty, ''), '0') AS NUMERIC) + 
            CAST(COALESCE(NULLIF(prod_qty_2, ''), '0') AS NUMERIC) + 
            CAST(COALESCE(NULLIF(prod_qty_3, ''), '0') AS NUMERIC)
        ) AS total_prod_qty
    FROM 
        raw_production_extract
    WHERE 
        masked_stor_cd = :store_id
        AND prod_dt = :date_from
    GROUP BY 
        item_cd
) Prod ON Sales.item_cd = Prod.item_cd
-- 3. 재고율 정제 뷰 조인
LEFT JOIN core_stock_rate SR 
    ON Sales.item_cd = SR.item_cd 
    AND SR.masked_stor_cd = :store_id
    AND SR.prc_dt = :date_from
-- 4. 품절시간 정제 뷰 조인
LEFT JOIN core_stockout_time ST 
    ON Sales.item_cd = ST.item_cd 
    AND ST.masked_stor_cd = :store_id
    AND ST.prc_dt = :date_from
WHERE 
    Sales.total_sale_qty > 0                                      -- 판매가 발생했고
    AND COALESCE(Prod.total_prod_qty, 0) = 0                      -- 당일 생산이 전혀 없는 품목 필터링
ORDER BY 
    Sales.total_sale_qty DESC; ","SELECT
    Sales.item_cd,
    Sales.item_nm,
    Sales.total_sale_qty,
    COALESCE(Prod.total_prod_qty, 0) AS total_prod_qty,
    SR.stk_rt AS stock_rate,
    (CASE WHEN ST.sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END),
    ST.sold_out_tm,
    NULLIF(ST.stk_avg, '')::numeric
FROM (
    SELECT
        item_cd,
        item_nm,
        SUM(sale_qty) AS total_sale_qty
    FROM
        core_daily_item_sales
    WHERE
        masked_stor_cd = 'POC_010'
        AND sale_dt = '20250424'
    GROUP BY
        item_cd,
        item_nm
) Sales
LEFT JOIN (
    SELECT
        item_cd,
        SUM(
            CAST(COALESCE(NULLIF(prod_qty, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_2, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_3, ''), '0') AS NUMERIC)
        ) AS total_prod_qty
    FROM
        raw_production_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND prod_dt = '20250424'
    GROUP BY
        item_cd
) Prod ON Sales.item_cd = Prod.item_cd
LEFT JOIN core_stock_rate SR
    ON Sales.item_cd = SR.item_cd
    AND SR.masked_stor_cd = 'POC_010'
    AND SR.prc_dt = '20250424'
LEFT JOIN core_stockout_time ST
    ON Sales.item_cd = ST.item_cd
    AND ST.masked_stor_cd = 'POC_010'
    AND ST.prc_dt = '20250424'
WHERE
    Sales.total_sale_qty > 0
    AND COALESCE(Prod.total_prod_qty, 0) = 0
ORDER BY
    Sales.total_sale_qty DESC;",,,
036-001-003,POC_010,2026-03-05 09:00 (KST),생산 관리,품절 잦은 시간대,품절이 자주 발생하는 특정 시간대가 있어?,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",생산 등록 이력 컬럼 직접 없음; 판매수량 대비 재고율 변화로 추정,"SELECT
    stockout_hour AS stockout_time,             -- 품절 발생 시각 (시 단위)
    COUNT(*) AS stockout_cnt                    -- 시간대별 품절 발생 횟수
FROM
    core_stockout_time
WHERE
    masked_stor_cd = :store_id
    AND prc_dt BETWEEN :date_from AND :date_to
    AND is_stockout = TRUE                      -- 품절이 발생한 건만 필터링
    AND stockout_hour IS NOT NULL               -- 시각 데이터가 있는 건만 집계
GROUP BY
    stockout_hour
ORDER BY
    stockout_cnt DESC;","SELECT
    sold_out_tm AS stockout_time,
    COUNT(*) AS stockout_cnt
FROM
    core_stockout_time
WHERE
    masked_stor_cd = 'POC_010'
    AND prc_dt BETWEEN '20260301' AND '20260304'  -- 이번 달(3월 1일~4일) 적용
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE
    AND sold_out_tm IS NOT NULL
GROUP BY
    sold_out_tm
ORDER BY
    stockout_cnt DESC;",,,
036-001-004,POC_010,2026-03-05 09:00 (KST),생산 관리,이번달 품절 1위 시간대,이번 달 품절이 가장 빈번했던 시간대는 언제야?,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",생산 등록 이력 컬럼 직접 없음; 판매수량 대비 재고율 변화로 추정,"SELECT
    stockout_hour::text || '시' AS stockout_time,  -- 시간대 (예: '21시')
    COUNT(*) AS total_stockout_cases               -- 해당 시간대의 총 품절 발생 건수
FROM
    core_stockout_time
WHERE
    masked_stor_cd = :store_id
    AND prc_dt BETWEEN :date_from AND :date_to
    AND is_stockout = TRUE                         -- 품절이 발생한 항목만 필터링
    AND stockout_hour IS NOT NULL
GROUP BY
    stockout_hour
ORDER BY
    total_stockout_cases DESC
LIMIT 5;","SELECT 
    sold_out_tm || '시' AS stockout_time,
    COUNT(*) AS total_stockout_cases
FROM 
    core_stockout_time
WHERE 
    -- 동적 변수 대신 3월 1일 ~ 3월 4일 날짜 텍스트 명시적 대입
    prc_dt >= '20260301' 
    AND prc_dt <= '20260304'
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE
    AND sold_out_tm IS NOT NULL
GROUP BY 
    sold_out_tm
ORDER BY 
    total_stockout_cases DESC
LIMIT 5;",,,
037-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,3일간 무생산 판매 품목,최근 3일 생산 없이 판매만 지속된 품목 알려줘,⚠️,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",생산 등록 이력 컬럼 직접 없음; 판매수량 대비 재고율 변화로 추정,"SELECT 
    Sales.item_cd,
    Sales.item_nm,
    Sales.total_sale_qty,                                         -- 최근 3일 총 판매수량
    COALESCE(Prod.total_prod_qty, 0) AS total_prod_qty            -- 최근 3일 총 생산수량
FROM (
    -- 1. 지정된 3일간의 품목별 총 판매수량 집계
    SELECT 
        item_cd,
        item_nm,
        SUM(sale_qty) AS total_sale_qty
    FROM 
        core_daily_item_sales
    WHERE 
        masked_stor_cd = :store_id
        AND sale_dt BETWEEN :date_from AND :date_to
    GROUP BY 
        item_cd, 
        item_nm
) Sales
LEFT JOIN (
    -- 2. 지정된 3일간의 품목별 총 생산수량 집계 (1차+2차+3차 합산)
    SELECT 
        item_cd,
        SUM(
            CAST(COALESCE(NULLIF(prod_qty, ''), '0') AS NUMERIC) + 
            CAST(COALESCE(NULLIF(prod_qty_2, ''), '0') AS NUMERIC) + 
            CAST(COALESCE(NULLIF(prod_qty_3, ''), '0') AS NUMERIC)
        ) AS total_prod_qty
    FROM 
        raw_production_extract
    WHERE 
        masked_stor_cd = :store_id
        AND prod_dt BETWEEN :date_from AND :date_to
    GROUP BY 
        item_cd
) Prod 
ON Sales.item_cd = Prod.item_cd
WHERE 
    Sales.total_sale_qty > 0                                      -- 판매가 1건이라도 발생했고
    AND COALESCE(Prod.total_prod_qty, 0) = 0                      -- 생산은 전혀 되지 않은 품목 필터링
ORDER BY 
    Sales.total_sale_qty DESC                                     -- 판매량이 가장 많은 순으로 정렬
LIMIT 10;","SELECT
    Sales.item_cd,
    Sales.item_nm,
    Sales.total_sale_qty,
    COALESCE(Prod.total_prod_qty, 0) AS total_prod_qty
FROM (
    SELECT
        item_cd,
        item_nm,
        SUM(sale_qty) AS total_sale_qty
    FROM
        core_daily_item_sales
    WHERE
        masked_stor_cd = 'POC_010'
        AND sale_dt BETWEEN '20260302' AND '20260304'             -- 최근 3일 날짜 적용
    GROUP BY
        item_cd,
        item_nm
) Sales
LEFT JOIN (
    SELECT
        item_cd,
        SUM(
            CAST(COALESCE(NULLIF(prod_qty, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_2, ''), '0') AS NUMERIC) +
            CAST(COALESCE(NULLIF(prod_qty_3, ''), '0') AS NUMERIC)
        ) AS total_prod_qty
    FROM
        raw_production_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND prod_dt BETWEEN '20260302' AND '20260304'
    GROUP BY
        item_cd
) Prod
ON Sales.item_cd = Prod.item_cd
WHERE
    Sales.total_sale_qty > 0
    AND COALESCE(Prod.total_prod_qty, 0) = 0
ORDER BY
    Sales.total_sale_qty DESC
LIMIT 10;","최근 3일간 생산 등록 없이 판매가 지속된 품목 목록과 누적 판매수량, 현재 재고율을 제시하고 품절 위험 순서대로 우선순위를 안내",,
038-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,생산 등록 누락 일자,이번 주 특정 날 생산 등록이 아예 없었던 날 있어?,⚠️,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",생산 등록 이력 컬럼 직접 없음; 판매수량 대비 재고율 변화로 추정,"WITH target_days AS (
    -- 1. :reference_dt 기준 이번 주 월요일부터 수요일(총 3일)까지의 날짜 목록 동적 생성
    SELECT
        TO_CHAR(DATE_TRUNC('week', TO_DATE(:reference_dt, 'YYYYMMDD')) + (i || ' days')::interval, 'YYYYMMDD') AS target_dt
    FROM
        generate_series(0, 2) AS i
),
daily_production AS (
    -- 2. 일자별 1차, 2차, 3차 생산 수량 총합 집계
    SELECT
        prod_dt,
        SUM(COALESCE(prod_qty::numeric, 0) + COALESCE(prod_qty_2::numeric, 0) + COALESCE(prod_qty_3::numeric, 0)) AS total_prod_qty
    FROM
        raw_production_extract
    WHERE
        masked_stor_cd = :store_id AND prod_dt >= TO_CHAR(DATE_TRUNC('week', TO_DATE(:reference_dt, 'YYYYMMDD')), 'YYYYMMDD')
        AND prod_dt <= :reference_dt
    GROUP BY
        prod_dt
)
-- 3. 생성된 캘린더에 생산량을 매핑하여, 생산 내역이 없는(NULL 또는 0) 날짜 도출
SELECT
    t.target_dt AS production_date,
    TRIM(TO_CHAR(TO_DATE(t.target_dt, 'YYYYMMDD'), 'Day')) AS day_of_week,
    COALESCE(p.total_prod_qty, 0) AS total_production_qty,

    -- 생산 여부 플래그
    CASE
        WHEN p.total_prod_qty IS NULL OR p.total_prod_qty = 0 THEN '생산 미등록(없음)'
        ELSE '생산 등록됨'
    END AS production_status
FROM
    target_days t
LEFT JOIN
    daily_production p ON t.target_dt = p.prod_dt
ORDER BY
    t.target_dt ASC;","WITH target_days AS (
    -- 동적 변수 대신 조회하고자 하는 이번 주 날짜 명시적 대입
    SELECT '20260302' AS target_dt UNION ALL
    SELECT '20260303' AS target_dt UNION ALL
    SELECT '20260304' AS target_dt
),
daily_production AS (
    SELECT
        prod_dt,
        SUM(COALESCE(prod_qty::numeric, 0) + COALESCE(prod_qty_2::numeric, 0) + COALESCE(prod_qty_3::numeric, 0)) AS total_prod_qty
    FROM
        raw_production_extract
    WHERE
        prod_dt >= '20260302'
        AND prod_dt <= '20260304'
    GROUP BY
        prod_dt
)
SELECT
    t.target_dt AS production_date,
    TRIM(TO_CHAR(TO_DATE(t.target_dt, 'YYYYMMDD'), 'Day')) AS day_of_week,
    COALESCE(p.total_prod_qty, 0) AS total_production_qty,

    CASE
        WHEN p.total_prod_qty IS NULL OR p.total_prod_qty = 0 THEN '생산 미등록(없음)'
        ELSE '생산 등록됨'
    END AS production_status
FROM
    target_days t
LEFT JOIN
    daily_production p ON t.target_dt = p.prod_dt
ORDER BY
    t.target_dt ASC;","이번 주 중 생산 등록 건수가 0인 날짜와 해당 날의 재고율 변화를 제시하고, 생산 누락이 다음날 재고에 미친 영향을 분석",,
039-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,도넛 vs 베이커리 재고,이번 달 도넛류와 베이커리류 재고율 차이 알려줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",품목군 분류는 item_nm 키워드 기반 가정; 공식 카테고리 컬럼 없음,"WITH item_category_rates AS (
    -- 1. 지정된 기간 내에 상품명(item_nm) 키워드를 바탕으로 도넛류와 베이커리류를 분류
    SELECT 
        item_cd,
        item_nm,
        stk_rt,
        CASE 
            WHEN item_nm LIKE '%도넛%' THEN 'donut'
            WHEN item_nm LIKE '%빵%' OR item_nm LIKE '%베이커리%' THEN 'bakery'
            ELSE 'other'
        END AS category_group
    FROM 
        core_stock_rate
    WHERE 
        masked_stor_cd = :store_id AND -- 시작 날짜와 마지막 날짜를 동적 변수로 처리
        prc_dt >= :date_from 
        AND prc_dt <= :date_to
),
category_avg AS (
    -- 2. 분류된 두 그룹의 평균 재고율 계산
    SELECT 
        AVG(CASE WHEN category_group = 'donut' THEN stk_rt END) AS donut_avg_rate,
        AVG(CASE WHEN category_group = 'bakery' THEN stk_rt END) AS bakery_avg_rate
    FROM 
        item_category_rates
)
-- 3. 도넛과 베이커리의 일평균 재고율(%) 및 두 카테고리 간의 절댓값 차이(%) 도출
SELECT 
    ROUND(donut_avg_rate * 100, 2) AS donut_avg_stock_rate_pct,
    ROUND(bakery_avg_rate * 100, 2) AS bakery_avg_stock_rate_pct,
    
    -- 두 품목군 간의 평균 재고율 차이 (절댓값 처리)
    ROUND(ABS(donut_avg_rate - bakery_avg_rate) * 100, 2) AS diff_stock_rate_pct
FROM 
    category_avg;","WITH item_category_rates AS (
    SELECT
        item_cd,
        item_nm,
        stk_rt,
        CASE
            WHEN item_nm LIKE '%도넛%' THEN 'donut'
            WHEN item_nm LIKE '%빵%' OR item_nm LIKE '%베이커리%' THEN 'bakery'
            ELSE 'other'
        END AS category_group
    FROM
        core_stock_rate
    WHERE
        -- 동적 변수 대신 3월 1일 ~ 3월 4일 텍스트 명시적 대입
        prc_dt >= '20260301'
        AND prc_dt <= '20260304'
),
category_avg AS (
    SELECT
        AVG(CASE WHEN category_group = 'donut' THEN stk_rt END) AS donut_avg_rate,
        AVG(CASE WHEN category_group = 'bakery' THEN stk_rt END) AS bakery_avg_rate
    FROM
        item_category_rates
)
SELECT
    ROUND(donut_avg_rate * 100, 2) AS donut_avg_stock_rate_pct,
    ROUND(bakery_avg_rate * 100, 2) AS bakery_avg_stock_rate_pct,
    ROUND(ABS(donut_avg_rate - bakery_avg_rate) * 100, 2) AS diff_stock_rate_pct
FROM
    category_avg;","이번 달 도넛류와 베이커리류의 평균 재고율을 비교하고, 군별 재고 수준 차이와 생산량 조정이 더 필요한 군을 수치와 함께 제시",production_compare_category_stock_rate_difference,금월 도넛과 베이커리 품목의 재고율 차이가 어떻게 돼? | [카테고리A]와 [카테고리B]의 이번 달 재고율 편차 확인해줘 | 이번 달 도넛류 대비 베이커리류 재고율이 얼마나 차이나? | 당월 기준 도넛 및 베이커리 카테고리별 재고율 격차를 알려주세요 | [기간] 동안 [상품군1]과 [상품군2]의 재고율 차이 비교해줘 | 도넛이랑 베이커리 재고율 차이 이번 달 거 보여줘
040-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,카테고리 폐기 순위,최근 30일 품목 카테고리별 폐기 수량 순위 알려줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",품목군 분류는 item_nm 키워드 기반 가정; 공식 카테고리 컬럼 없음,"SELECT 
    item_category,                                 -- 분류된 품목 카테고리
    SUM(disuse_qty) AS total_disuse_qty            -- 카테고리별 총 폐기 수량
FROM (
    -- 1. 지정된 기간 내 폐기 발생 건 추출 및 상품명을 통한 카테고리 분류
    SELECT
        CASE
            WHEN item_nm LIKE '%도넛%' THEN '1. 도넛류'
            WHEN item_nm LIKE '%케이크%' OR item_nm LIKE '%케익%' THEN '2. 케이크류'
            WHEN item_nm LIKE '%베이커리%' OR item_nm LIKE '%빵%' THEN '3. 베이커리/빵류'
            ELSE '4. 기타'
        END AS item_category,
        CAST(disuse_qty AS NUMERIC) AS disuse_qty
    FROM
        raw_inventory_extract
    WHERE
        masked_stor_cd = :store_id
        AND stock_dt BETWEEN :date_from AND :date_to
        AND disuse_qty IS NOT NULL
        AND CAST(disuse_qty AS NUMERIC) > 0        -- 폐기가 실제 발생한 건만 필터링
) InventoryData
GROUP BY
    item_category
ORDER BY
    total_disuse_qty DESC;                         -- 폐기 수량이 가장 많은 카테고리 순으로 정렬","SELECT
    item_category,
    SUM(disuse_qty) AS total_disuse_qty
FROM (
    SELECT
        CASE
            WHEN item_nm LIKE '%도넛%' THEN '1. 도넛류'
            WHEN item_nm LIKE '%케이크%' OR item_nm LIKE '%케익%' THEN '2. 케이크류'
            WHEN item_nm LIKE '%베이커리%' OR item_nm LIKE '%빵%' THEN '3. 베이커리/빵류'
            ELSE '4. 기타'
        END AS item_category,
        CAST(disuse_qty AS NUMERIC) AS disuse_qty
    FROM
        raw_inventory_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND stock_dt BETWEEN '20260203' AND '20260304'
        AND disuse_qty IS NOT NULL
        AND CAST(disuse_qty AS NUMERIC) > 0
) InventoryData
GROUP BY
    item_category
ORDER BY
    total_disuse_qty DESC;","최근 30일 카테고리별 폐기 수량 순위와 각 카테고리의 폐기율을 나열하고, 폐기 집중 카테고리에 대한 생산량 감축 검토 의견을 제시",production_rank_item_category_disposal_quantity,지난 한 달간 카테고리별 폐기량 순위 보여줘 | 품목 분류별로 폐기 수량 높은 순서대로 나열해줘 | 최근 {기간} 동안 카테고리별 폐기 수량 순위는? | 최근 30일간의 품목 카테고리별 폐기 수량 랭킹을 확인하고 싶어 | 카테고리별 폐기 수량 순위 (최근 30일) | 어떤 카테고리에서 폐기가 가장 많이 발생했는지 순위 알려줘
041-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,판매↑ 재고↓ 품목,이번 달 판매수량은 많은데 재고율이 계속 낮은 품목 알려줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",품목군 분류는 item_nm 키워드 기반 가정; 공식 카테고리 컬럼 없음,"WITH item_monthly_stats AS (
    -- 1. 지정된 기간(:date_from ~ :date_to) 품목별 총 판매수량 및 평균 재고율 집계
    SELECT
        s.item_cd,
        MAX(s.item_nm) AS item_nm,
        SUM(s.sale_qty) AS total_sale_qty,        -- 총 판매수량
        AVG(r.stk_rt) AS avg_stock_rate           -- 일평균 재고율 (소수점 저장)
    FROM
        core_daily_item_sales s
    JOIN
        core_stock_rate r
        ON s.item_cd = r.item_cd AND s.sale_dt = r.prc_dt
    WHERE
        s.masked_stor_cd = :store_id
        AND r.masked_stor_cd = :store_id
        -- 시작 날짜와 마지막 날짜를 동적 변수로 처리
        AND s.sale_dt >= :date_from
        AND s.sale_dt <= :date_to
    GROUP BY
        s.item_cd
)
-- 2. 재고율이 낮고(30% 미만) 판매수량이 높은 상위 10개 품목 추출
SELECT
    item_cd,
    item_nm,
    total_sale_qty,
    ROUND(avg_stock_rate * 100, 2) AS avg_stock_rate_pct -- 백분율(%) 변환
FROM
    item_monthly_stats
WHERE
    avg_stock_rate < 0.30 -- 재고율 30% 미만 조건
ORDER BY
    total_sale_qty DESC
LIMIT 10;","WITH item_monthly_stats AS (
    SELECT
        s.item_cd,
        MAX(s.item_nm) AS item_nm,
        SUM(s.sale_qty) AS total_sale_qty,
        AVG(r.stk_rt) AS avg_stock_rate
    FROM
        core_daily_item_sales s
    JOIN
        core_stock_rate r
        ON s.item_cd = r.item_cd AND s.sale_dt = r.prc_dt
    WHERE
        -- 동적 변수 대신 3월 1일 ~ 3월 4일 텍스트 직접 대입
        s.sale_dt >= '20260301'
        AND s.sale_dt <= '20260304'
    GROUP BY
        s.item_cd
)
SELECT
    item_cd,
    item_nm,
    total_sale_qty,
    ROUND(avg_stock_rate * 100, 2) AS avg_stock_rate_pct
FROM
    item_monthly_stats
WHERE
    avg_stock_rate < 0.30
ORDER BY
    total_sale_qty DESC
LIMIT 10;","이번 달 판매수량 상위이면서 평균 재고율 하위인 품목을 나열하고, 공급 부족 위험과 생산 증량 필요성을 수치 기반으로 설명",production_find_high_sales_low_stock_items,이번 달 판매수량은 많은데 재고율이 계속 낮은 품목 알려줘 | 금월 판매량은 높은데 재고율이 낮은 상품 리스트 보여줘 | 판매는 잘 되는데 재고율이 계속 떨어지는 품목 뭐야? | 최근 한 달간 판매량 대비 재고율이 부족한 제품 알려줘 | 이번 달 판매 실적은 우수하나 재고율이 저조한 품목을 조회해줘 | 판매량 높고 재고율 낮은 품목 확인
042-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,재고↑ 판매↓ 품목,지난달 재고율이 높았는데 판매는 저조한 품목 알려줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",품목군 분류는 item_nm 키워드 기반 가정; 공식 카테고리 컬럼 없음,"SELECT 
    item_cd,
    item_nm,
    SUM(ord_avg) AS total_supply_qty,       -- 한 달간 총 판매가능수량 (공급량)
    SUM(sal_avg) AS total_sales_qty,        -- 한 달간 총 실제 판매량
    SUM(stk_avg) AS total_stock_qty,        -- 한 달간 총 남은 재고량 합계
    ROUND(AVG(stk_rt), 2) AS avg_stock_rate -- 한 달간 평균 재고율
FROM
    core_stock_rate
WHERE
    masked_stor_cd = :store_id
    AND prc_dt BETWEEN :date_from AND :date_to -- 'YYYYMMDD' 형식 (지난달 1일 ~ 말일)
    AND ord_avg > 0                              -- 취급(공급) 이력이 있는 품목 한정
GROUP BY
    item_cd,
    item_nm
ORDER BY
    avg_stock_rate DESC,                         -- 평균 재고율이 가장 높은(많이 남은) 순 정렬
    total_sales_qty ASC                          -- 재고율이 같다면 판매량이 가장 적은 순 정렬
LIMIT 10;                                        -- 상위 10개 품목 제한","SELECT 
    item_cd,
    item_nm,
    SUM(ord_avg) AS total_supply_qty,
    SUM(sal_avg) AS total_sales_qty,
    SUM(stk_avg) AS total_stock_qty,
    ROUND(AVG(stk_rt), 2) AS avg_stock_rate
FROM
    core_stock_rate
WHERE
    masked_stor_cd = 'POC_010'
    AND prc_dt BETWEEN '20260201' AND '20260228' -- 지난달(3월) 1일 ~ 말일 기준
    AND ord_avg > 0
GROUP BY
    item_cd,
    item_nm
ORDER BY
    avg_stock_rate DESC,
    total_sales_qty ASC
LIMIT 10;","전월 평균 재고율 상위이면서 판매수량 하위인 품목을 나열하고, 과잉 생산 패턴과 이번 달 생산 조정 가능 여부를 분석",production_find_high_stock_low_sales_items,지난달에 재고는 많은데 안 팔린 물건 뭐야? | 전월 기준 재고율은 높으나 판매량이 낮은 품목 리스트 보여줘 | {date} 재고율 {rate} 이상이면서 판매량 {qty} 이하인 품목 조회 | 재고만 쌓이고 판매 실적 안 좋은 품목 알려줘 | 지난달 재고율 대비 판매 저조 품목 확인해줘 | 지난달에 재고는 쌓여있는데 판매가 안 된 제품은?
